iter	Passed	Remaining
0	72	72132
1	113	56599
2	194	64720
3	297	74051
4	373	74297
5	465	77195
6	596	84631
7	692	85907
8	792	87208
9	880	87155
10	988	88851
11	1090	89805
12	1183	89831
13	1266	89223
14	1349	88622
15	1430	87993
16	1517	87719
17	1598	87211
18	1684	86970
19	1780	87265
20	1870	87193
21	1961	87195
22	2053	87230
23	2136	86870
24	2225	86790
25	2322	87009
26	2403	86622
27	2487	86366
28	2568	85986
29	2660	86034
30	2744	85803
31	2830	85622
32	2918	85516
33	3015	85673
34	3115	85906
35	3213	86042
36	3304	85999
37	3398	86038
38	3511	86522
39	3597	86343
40	3690	86331
41	3772	86056
42	3861	85945
43	3948	85796
44	4032	85583
45	4136	85785
46	4230	85776
47	4324	85765
48	4415	85706
49	4514	85776
50	4620	85984
51	4721	86077
52	4839	86470
53	4943	86598
54	5037	86548
55	5127	86428
56	5221	86385
57	5324	86476
58	5446	86870
59	5553	87012
60	5671	87310
61	5758	87113
62	5849	87006
63	5969	87300
64	6068	87286
65	6179	87445
66	6264	87234
67	6349	87021
68	6452	87064
69	6531	86773
70	6614	86542
71	6712	86510
72	6813	86520
73	6910	86479
74	7015	86529
75	7114	86498
76	7235	86730
77	7350	86884
78	7454	86904
79	7556	86903
80	7681	87155
81	7775	87045
82	7875	87015
83	7965	86860
84	8064	86814
85	8148	86599
86	8246	86537
87	8333	86370
88	8446	86459
89	8547	86423
90	8650	86413
91	8759	86452
92	8885	86659
93	9013	86878
94	9115	86835
95	9200	86635
96	9300	86577
97	9393	86455
98	9488	86356
99	9594	86353
100	9706	86399
101	9814	86403
102	9922	86414
103	10018	86313
104	10109	86175
105	10224	86229
106	10330	86220
107	10441	86241
108	10544	86191
109	10629	85999
110	10730	85938
111	10825	85834
112	10938	85858
113	11052	85897
114	11176	86012
115	11304	86145
116	11465	86529
117	11581	86564
118	11703	86647
119	11824	86714
120	11963	86907
121	12102	87099
122	12257	87394
123	12384	87489
124	12499	87495
125	12585	87297
126	12689	87227
127	12787	87117
128	12882	86982
129	12974	86831
130	13086	86813
131	13177	86652
132	13284	86599
133	13373	86430
134	13483	86396
135	13602	86412
136	13693	86258
137	13795	86170
138	13928	86279
139	14037	86228
140	14151	86215
141	14263	86185
142	14373	86142
143	14477	86060
144	14562	85870
145	14659	85749
146	14770	85706
147	14859	85540
148	14955	85414
149	15081	85460
150	15185	85382
151	15316	85447
152	15442	85488
153	15551	85429
154	15663	85391
155	15770	85320
156	15872	85225
157	15973	85126
158	16103	85174
159	16214	85127
160	16325	85073
161	16435	85020
162	16549	84980
163	16674	85001
164	16797	85007
165	16909	84954
166	17015	84871
167	17112	84749
168	17227	84712
169	17334	84635
170	17433	84515
171	17541	84444
172	17639	84321
173	17743	84232
174	17844	84125
175	17953	84057
176	18045	83908
177	18167	83895
178	18269	83795
179	18388	83768
180	18479	83619
181	18608	83638
182	18727	83606
183	18814	83437
184	18902	83274
185	18999	83147
186	19103	83053
187	19214	82989
188	19331	82951
189	19431	82838
190	19542	82775
191	19640	82651
192	19722	82468
193	19846	82455
194	19944	82334
195	20041	82211
196	20153	82148
197	20255	82045
198	20343	81884
199	20441	81767
200	20555	81711
201	20670	81660
202	20781	81590
203	20925	81650
204	21050	81635
205	21184	81651
206	21310	81637
207	21420	81562
208	21543	81535
209	21634	81388
210	21745	81314
211	21867	81281
212	21974	81191
213	22081	81103
214	22194	81035
215	22293	80916
216	22409	80858
217	22516	80770
218	22645	80759
219	22761	80698
220	22854	80560
221	22970	80499
222	23069	80381
223	23178	80296
224	23266	80141
225	23387	80095
226	23492	79997
227	23607	79934
228	23708	79822
229	23820	79745
230	23929	79663
231	24058	79643
232	24165	79548
233	24311	79583
234	24410	79462
235	24526	79399
236	24643	79338
237	24759	79273
238	24849	79124
239	24975	79090
240	25093	79030
241	25209	78961
242	25339	78938
243	25454	78865
244	25549	78733
245	25643	78597
246	25769	78559
247	25858	78409
248	25969	78326
249	26076	78229
250	26185	78138
251	26294	78050
252	26421	78010
253	26540	77950
254	26655	77875
255	26761	77776
256	26854	77637
257	26975	77580
258	27076	77466
259	27179	77357
260	27264	77197
261	27366	77085
262	27480	77008
263	27599	76945
264	27661	76721
265	27774	76641
266	27877	76532
267	27963	76377
268	28059	76251
269	28180	76190
270	28262	76028
271	28383	75967
272	28497	75890
273	28615	75819
274	28716	75706
275	28812	75579
276	28918	75479
277	28999	75314
278	29091	75178
279	29174	75020
280	29295	74959
281	29398	74852
282	29521	74795
283	29613	74660
284	29724	74571
285	29840	74497
286	29959	74430
287	30082	74370
288	30172	74231
289	30291	74162
290	30395	74056
291	30490	73928
292	30616	73876
293	30740	73817
294	30868	73770
295	30974	73668
296	31087	73583
297	31203	73507
298	31305	73395
299	31396	73259
300	31501	73155
301	31613	73066
302	31730	72990
303	31813	72835
304	31921	72738
305	32020	72621
306	32113	72490
307	32212	72374
308	32293	72216
309	32403	72124
310	32500	72003
311	32617	71926
312	32720	71817
313	32812	71686
314	32902	71549
315	33008	71449
316	33125	71371
317	33236	71281
318	33352	71199
319	33469	71122
320	33584	71039
321	33699	70957
322	33799	70843
323	33916	70764
324	34024	70666
325	34143	70592
326	34247	70484
327	34350	70375
328	34450	70262
329	34550	70147
330	34652	70038
331	34745	69908
332	34842	69790
333	34950	69692
334	35041	69560
335	35151	69465
336	35265	69379
337	35379	69294
338	35515	69250
339	35640	69185
340	35732	69055
341	35829	68934
342	35937	68835
343	36020	68690
344	36137	68609
345	36227	68476
346	36335	68377
347	36471	68332
348	36575	68224
349	36680	68121
350	36786	68018
351	36898	67926
352	36991	67801
353	37082	67670
354	37197	67584
355	37290	67457
356	37381	67329
357	37479	67211
358	37576	67093
359	37672	66973
360	37774	66863
361	37885	66770
362	38000	66683
363	38086	66546
364	38180	66424
365	38284	66318
366	38405	66240
367	38502	66123
368	38613	66030
369	38724	65935
370	38814	65807
371	38949	65753
372	39038	65621
373	39139	65511
374	39231	65385
375	39339	65286
376	39469	65223
377	39576	65123
378	39728	65096
379	39870	65052
380	39996	64981
381	40117	64902
382	40204	64768
383	40300	64648
384	40408	64549
385	40528	64467
386	40624	64348
387	40697	64192
388	40796	64079
389	40894	63963
390	40984	63835
391	41106	63756
392	41219	63664
393	41312	63541
394	41424	63447
395	41531	63346
396	41625	63224
397	41710	63090
398	41805	62970
399	41909	62864
400	42012	62756
401	42117	62652
402	42231	62561
403	42326	62442
404	42423	62326
405	42529	62223
406	42613	62088
407	42699	61955
408	42816	61869
409	42929	61776
410	43040	61680
411	43152	61586
412	43290	61528
413	43414	61451
414	43525	61355
415	43627	61245
416	43743	61157
417	43874	61087
418	43967	60966
419	44093	60891
420	44210	60802
421	44301	60678
422	44385	60545
423	44485	60433
424	44581	60315
425	44684	60208
426	44783	60096
427	44899	60006
428	44989	59880
429	45098	59781
430	45189	59659
431	45287	59544
432	45385	59430
433	45503	59343
434	45604	59233
435	45684	59096
436	45787	58989
437	45885	58876
438	45971	58746
439	46085	58654
440	46225	58594
441	46368	58537
442	46485	58448
443	46602	58358
444	46709	58255
445	46803	58137
446	46914	58040
447	47027	57944
448	47127	57833
449	47242	57740
450	47330	57615
451	47421	57493
452	47508	57366
453	47613	57261
454	47713	57151
455	47822	57051
456	47938	56960
457	48023	56831
458	48137	56737
459	48222	56609
460	48321	56497
461	48431	56398
462	48539	56297
463	48644	56193
464	48763	56104
465	48867	55998
466	48968	55888
467	49064	55774
468	49165	55664
469	49274	55564
470	49349	55426
471	49448	55314
472	49544	55201
473	49670	55119
474	49771	55010
475	49873	54902
476	50009	54832
477	50101	54712
478	50194	54596
479	50286	54476
480	50385	54366
481	50501	54273
482	50624	54188
483	50721	54074
484	50834	53978
485	50922	53856
486	51016	53740
487	51125	53639
488	51202	53505
489	51323	53417
490	51425	53310
491	51522	53197
492	51613	53079
493	51716	52972
494	51827	52874
495	51942	52779
496	52052	52681
497	52152	52570
498	52267	52477
499	52359	52359
500	52454	52245
501	52582	52163
502	52696	52068
503	52804	51966
504	52911	51863
505	53032	51774
506	53134	51667
507	53246	51568
508	53344	51458
509	53449	51353
510	53554	51248
511	53634	51120
512	53738	51014
513	53847	50914
514	53956	50813
515	54072	50718
516	54194	50630
517	54321	50545
518	54428	50443
519	54504	50311
520	54604	50202
521	54725	50112
522	54842	50018
523	54937	49904
524	55037	49795
525	55127	49677
526	55202	49546
527	55315	49448
528	55423	49347
529	55531	49244
530	55622	49128
531	55729	49025
532	55817	48905
533	55916	48795
534	56044	48711
535	56161	48617
